code_postal,Commune,Ordures ménagères,Tri sélectif
13111,COUDOUX,Mardi et Samedi,1 mercredi / 2
13790,CHATEAUNEUF LE ROUGE,Lundi et Jeudi,1 mercredi / 2
13510,EGUILLES,Lundi et vendredi,1 mercredi / 2
13490,JOUQUES,Lundi et Vendredi,1 jeudi / 2
13640,LA ROQUE D'ANTHERON,Lundi et Vendredi,1 mercredi / 2
13410,LAMBESC,Lundi et Vendredi,1 jeudi / 2
13610,LE PUY SAINTE REPARADE,Mardi et Samedi,1 mercredi / 2
13650,MEYRARGUES,Mardi et Samedi,1 mardi / 2
13590,MEYREUIL,Lundi et Vendredi,1 mercredi / 2
13105,MIMET,Mardi et Jeudi,1 mercredi / 2
84120,PERTUIS,Lundi et Jeudi,1 jeudi / 2
13860,PEYROLLES,,1 jeudi / 2
13840,ROGNES,Mardi et Samedi,1 mercredi / 2
13760,SAINT-CANNAT,Lundi et Vendredi,1 jeudi / 2
13109,SIMIANE COLLONGUE,Mercredi et Samedi,1 mercredi / 2
13770,VENELLES,Lundi et Jeudi,1 samedi / 2
13122,VENTABREN,Mardi et Vendredi,1 jeudi / 2
 
