nom,latitude,longitude,ouv_lundi,ouv_mardi,ouv_mercredi,ouv_jeudi,ouv_vendredi,ouv_samedi,ouv_dimanche,ferm_lundi,ferm_mardi,ferm_mercredi,ferm_jeudi,ferm_vendredi,ferm_samedi,ferm_dimanche,dechets_vert,electronique,automobile,carton,papier,verre,piles,ampoules,autre
Intermarché,43.63241635317403 ,5.138808205954166,08h30,08h30,08h30,08h30,08h30,08h30,09h00,20h00,20h00,20h00,20h00,20h00,20h00,13h00,0,0,0,0,0,0,1,1,0
poubelles communes,43.63245827171998,5.153435340314095,24h,24h,24h,24h,24h,24h,24h,24h,24h,24h,24h,24h,24h,24h,0,0,0,1,1,0,0,0,1
Leclerc,43.6294124569237,5.115618974257699,08h45,08h45,08h45,08h45,08h45,08h45,08h45,20h00,20h00,20h00,20h00,20h00,20h00,12h30,0,1,0,0,0,0,1,1,0
II Piccolo Mercato 2,43.51479765634919, 5.442866084438863,11h00,11h00,11h00,11h00,11h00,17h30,11h00,01h00,01h00,01h00,01h00,01h00,02h00,01h00,0,1,0,0,0,0,1,1,0
Carrefour City,43.51616292802876, 5.436335415870276, 07h00,07h00,07h00,07h00,07h00,07h00,07h00,21h00,21h00,21h00,21h00,21h00,19h45,12h30,0,1,0,0,0,0,1,1,0
Déchèterie Aix en Provence, 43.50936017035191, 5.416512551388334, 09h00,09h00,09h00,09h00,09h00,09h00,09h00,17h50,17h50,17h50,17h50,17h50,17h50,11h50,1,1,1,1,1,1,1,1,1
Supermarché Bon Marché,43.628700,5.127800,08h00,08h00,08h00,08h00,08h00,08h00,09h00,20h00,20h00,20h00,20h00,20h00,20h00,13h00,0,0,0,1,0,0,1,0,0
Boulangerie du Coin,43.630200,5.132400,07h30,07h30,07h30,07h30,07h30,07h30,08h00,19h00,19h00,19h00,19h00,19h00,19h00,12h00,0,0,0,0,1,0,0,1,0
Pharmacie des Alpes,43.629000,5.140000,09h00,09h00,09h00,09h00,09h00,09h00,09h00,18h00,18h00,18h00,18h00,18h00,18h00,13h00,0,1,0,0,0,0,1,1,0
Marché Provençal,43.626800,5.142300,08h00,08h00,08h00,08h00,08h00,08h00,09h00,20h00,20h00,20h00,20h00,20h00,20h00,14h00,0,1,0,0,0,0,0,1,0
Restaurant Le Gourmet,43.625900,5.130500,11h00,11h00,11h00,11h00,11h00,11h00,11h00,23h00,23h00,23h00,23h00,23h00,23h00,22h00,0,0,0,1,1,1,1,0,0
Station de Service Essor,43.633000,5.136200,07h00,07h00,07h00,07h00,07h00,07h00,08h00,21h00,21h00,21h00,21h00,21h00,21h00,12h00,0,1,0,0,0,0,1,1,0
École Primaire Montagne,43.631500,5.134800,08h00,08h00,08h00,08h00,08h00,08h00,09h00,17h00,17h00,17h00,17h00,17h00,17h00,13h00,0,0,0,0,1,0,0,0,0
Centre Commercial Le Soleil,43.629800,5.137000,10h00,10h00,10h00,10h00,10h00,10h00,10h00,19h00,19h00,19h00,19h00,19h00,19h00,18h00,0,1,0,0,1,1,1,0,1
Magasin Économique,43.626200,5.145700,09h00,09h00,09h00,09h00,09h00,09h00,09h00,20h00,20h00,20h00,20h00,20h00,20h00,12h00,0,0,1,1,0,0,0,0,0
Kiosque à Journaux La Presse,43.628400,5.141900,08h30,08h30,08h30,08h30,08h30,08h30,09h00,18h00,18h00,18h00,18h00,18h00,18h00,14h00,0,0,0,0,1,0,1,0,0
Supermarché Bon Marché,43.620100,5.076500,08h00,08h00,08h00,08h00,08h00,08h00,09h00,20h00,20h00,20h00,20h00,20h00,20h00,13h00,0,0,0,1,0,0,1,0,0
Boulangerie La Pétrie,43.621800,5.074200,07h30,07h30,07h30,07h30,07h30,07h30,08h00,19h00,19h00,19h00,19h00,19h00,19h00,12h00,0,0,0,0,1,0,0,1,0
Pharmacie Pélissanne,43.621200,5.075800,09h00,09h00,09h00,09h00,09h00,09h00,09h00,18h00,18h00,18h00,18h00,18h00,18h00,13h00,0,1,0,0,0,0,1,1,0
Marché Local Pélissanne,43.620500,5.078000,08h00,08h00,08h00,08h00,08h00,08h00,09h00,20h00,20h00,20h00,20h00,20h00,20h00,14h00,0,1,0,0,0,0,0,1,0
Restaurant Le Pélissanais,43.621500,5.073000,11h00,11h00,11h00,11h00,11h00,11h00,11h00,23h00,23h00,23h00,23h00,23h00,23h00,22h00,0,0,0,1,1,1,1,0,0
Station-Service Pélissanne,43.620300,5.074600,07h00,07h00,07h00,07h00,07h00,07h00,08h00,21h00,21h00,21h00,21h00,21h00,21h00,12h00,0,1,0,0,0,0,1,1,0
École Primaire Pélissanne,43.622200,5.075000,08h00,08h00,08h00,08h00,08h00,08h00,09h00,17h00,17h00,17h00,17h00,17h00,17h00,13h00,0,0,0,0,1,0,0,0,0
Centre Commercial Pélissanne,43.620800,5.077500,10h00,10h00,10h00,10h00,10h00,10h00,10h00,19h00,19h00,19h00,19h00,19h00,19h00,18h00,0,1,0,0,1,1,1,0,1
Magasin Pélissanne,43.621000,5.072500,09h00,09h00,09h00,09h00,09h00,09h00,09h00,20h00,20h00,20h00,20h00,20h00,20h00,12h00,0,0,1,1,0,0,0,0,0
Kiosque à Journaux Pélissanne,43.621700,5.074000,08h30,08h30,08h30,08h30,08h30,08h30,09h00,18h00,18h00,18h00,18h00,18h00,18h00,14h00,0,0,0,0,1,0,1,0,0
